categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.42,deus enviou seu filho amado | jesus prometeu nos buscar,207,,,numero_nomes_distintos
,,,0.30,deus amou o mundo de tal maneira | eu quero ir para o ceu,208,,,numero_nomes_distintos
,,,0.36,deus o seu filho enviou | se eu falo do grande amor do pai,209,,,numero_nomes_distintos
,,,0.32,"imutavel deus | nesta hora de clamor | santo, justo, principe da vida",21,,,numero_nomes_distintos
,,,0.31,jesus voltara pra me buscar! (maranata) | um dia jesus desceu da sua gloria,210,,,numero_nomes_distintos
,,,0.26,cortaram o madeiro | o dias estao passando,211,,,numero_nomes_distintos
,,,0.32,rude cruz | sei que cristo voltara,212,,,numero_nomes_distintos
,,,0.24,cristo caminhava em direcao a cruz | la do doce porvir,213,,,numero_nomes_distintos
,,,0.27,dois discipulos no caminho de emaus | nos receberemos la do ceu,214,,,numero_nomes_distintos
,,,0.37,certo homem tao nobre | eis que jesus vem nas nuvens,215,,,numero_nomes_distintos
,,,0.70,"sobre as nuvens descera (ele vira) | somos teu povo | somos teu povo, tua igreja",216,,,numero_nomes_distintos
,,,0.38,deixou o esplendor de sua gloria | verei meu grande rei,217,,,numero_nomes_distintos
,,,0.14,maranata | por amor jesus morreu,218,,,numero_nomes_distintos
,,,0.24,ele vira no meio da noite | por amor,219,,,numero_nomes_distintos
,,,0.37,"bendito seja o cordeiro | faze oracao | jesus, o misterio revelado",22,,,numero_nomes_distintos
,,,0.22,"jesus, em tua presenca | vai raiar o dia",221,,,numero_nomes_distintos
,,,0.23,deus habita no meio dos louvores | eis que estou a porta,222,,,numero_nomes_distintos
,,,0.31,"onde esta o cordeiro | pai, tua beleza me admira",223,,,numero_nomes_distintos
,,,0.10,"deus criou os ceus e a terra | era um pecador, andava sem jesus",224,,,numero_nomes_distintos
,,,0.22,"eu vim aqui, senhor | jesus e melhor, sim, que ouro e bens",225,,,numero_nomes_distintos
,,,0.28,irei cantar e adorar o rei jesus | o sentido de viver,226,,,numero_nomes_distintos
,,,0.30,entrega o teu caminho ao senhor | hosana ao filho de davi,228,,,numero_nomes_distintos
,,,0.26,ao poco de jaco chegou jesus | cantai alegremente a deus,229,,,numero_nomes_distintos
,,,0.19,"quando israel saiu do egito | senhor, ouve a minha oracao",23,,,numero_nomes_distintos
,,,0.19,esta cancao | fonte de aguas vivas,230,,,numero_nomes_distintos
,,,0.29,hoje eu nao quero pedir | quem beber da agua que eu lhe der,232,,,numero_nomes_distintos
,,,0.16,na cidade de davi nasceu o salvador | vou guiar-te a uma rica fonte,233,,,numero_nomes_distintos
,,,0.43,deus hoje quer te falar | sei que sou amado do meu salvador,234,,,numero_nomes_distintos
,,,0.29,"manso e suave jesus esta chamando | senhor, eu te louvarei",235,,,numero_nomes_distintos
,,,0.42,"ouve a voz de jesus | senhor, deus tu es varao de guerra",236,,,numero_nomes_distintos
,,,0.48,eis mensagem do senhor | muitos motivos tenho,237,,,numero_nomes_distintos
,,,0.15,eu vou cantar | tanto tempo ja faz que o chamado divinal,238,,,numero_nomes_distintos
,,,0.41,deixa deus falar ao teu coracao | jesus e a nossa vitoria,239,,,numero_nomes_distintos
,,,0.43,eis o cordeiro de deus | nao ha o que temer (sei que deus e por mim) | uma ovelhinha de jesus eu sou,24,,,numero_nomes_distintos
,,,0.47,o senhor dos exercitos esta aqui | se cansado tu estas,240,,,numero_nomes_distintos
,,,0.32,"exaltai, exaltai | meu amado filho",241,,,numero_nomes_distintos
,,,0.38,"no exilio (oh bela siao) | onde quer que tu fores, irei jesus | senhor, a ti clamo",25,,,numero_nomes_distintos
,,,0.38,eu sou uma ovelhinha de jesus | o amor do nosso pai | seja so o senhor louvado aqui,26,,,numero_nomes_distintos
,,,0.38,cordeiro eterno | ele e a raiz | o caminho de siao,27,,,numero_nomes_distintos
,,,0.28,"o poder do sangue de jesus | o, senhor, tu es o meu pastor | sou uma crianca feliz",28,,,numero_nomes_distintos
,,,0.39,"jesus, quando me lembro | oh! que paz jesus me da | transborda-me, senhor",29,,,numero_nomes_distintos
,,,0.83,"das profundezas a ti clamo, o senhor | das profundezas clamo a ti, senhor",295,,,numero_nomes_distintos
,,,0.40,"abrindo teu livro | clamo a ti | clamo, o senhor por teu sangue",3,,,numero_nomes_distintos
,,,0.36,ele vive em mim | oh! que precioso sangue | olhar unicamente para jesus,30,,,numero_nomes_distintos
,,,0.37,"eu quero ser o sal da terra | junto a ti suplico, o pai | os ceus declaram",31,,,numero_nomes_distintos
,,,0.77,quando vem nos olhos | quando vem nos olhos uma lagrima,317,,,numero_nomes_distintos
,,,0.71,deus esta presente sempre | deus esta presente sempre pronto a nos ajudar,323,,,numero_nomes_distintos
,,,0.38,"cristo, meu bom mestre | eu me prostro em teu altar",33,,,numero_nomes_distintos
,,,0.83,se te encontrares triste | se te encontrares triste e cansado,333,,,numero_nomes_distintos
,,,0.38,pelo vale escuro seguirei jesus | quando buscamos | tenho um senhor muito forte,34,,,numero_nomes_distintos
,,,0.32,a meu senhor | quero ser como davi,35,,,numero_nomes_distintos
,,,0.68,queres neste mundo | queres neste mundo ser um vencedor?,352,,,numero_nomes_distintos
,,,0.67,"deus e nosso amparo | deus e o nosso amparo, nossa fortaleza",359,,,numero_nomes_distintos
,,,0.29,crucificado foi meu jesus | eu quero andar sempre com jesus | por nossa patria oramos (oracao pela patria),36,,,numero_nomes_distintos
,,,0.70,rochedo forte | rochedo forte e o senhor,360,,,numero_nomes_distintos
,,,0.71,"nao temas, pois te escolhi | nao temas, pois te escolhi (quando pelas aguas)",365,,,numero_nomes_distintos
,,,0.28,nesta hora esqueco o mundo | no meu coracao ha um tesouro (principe da vida) | preciosa graca de jesus (amazing grace),37,,,numero_nomes_distintos
,,,0.37,pelo sangue de jesus irei clamar | primeiro quero ver meu salvador | tenho um coracao alegre,38,,,numero_nomes_distintos
,,,0.28,"jesus, tu es o meu deus | na areia nao quero construir (firme, sim!)",39,,,numero_nomes_distintos
,,,0.42,"a minha voz, o deus, atende (salmo 5) | clamo, o senhor | quando te prostrares",4,,,numero_nomes_distintos
,,,0.33,oh! que sangue poderoso | quando entrei neste lugar | quero ouvir (meu querer),40,,,numero_nomes_distintos
,,,0.40,"a minha casa firme esta | alem do veu, eu quero estar | quando jesus aparecer nas nuvens",41,,,numero_nomes_distintos
,,,0.85,sou forasteiro | sou forasteiro aqui,412,,,numero_nomes_distintos
,,,0.80,"minha vida e meu coracao | quanto tempo faz | senhor, suplico a ti | senhor, suplico a ti em oracao",42,,,numero_nomes_distintos
,,,0.40,"sabe, filho | sou feliz! | vou clamar",43,,,numero_nomes_distintos
,,,0.53,conforme a tua infinita graca | sou servo do senhor | varao de guerra e o senhor,44,,,numero_nomes_distintos
